age,job,education,housing,loan,output,marital
30,blue-collar,basic.9y,yes,no,no,married
39,services,high.school,no,no,no,single
25,services,high.school,yes,no,no,married
38,services,basic.9y,unknown,unknown,no,married
47,admin.,university.degree,yes,no,no,married
32,services,university.degree,no,no,no,single
32,admin.,university.degree,yes,no,no,single
41,entrepreneur,university.degree,yes,no,no,married
31,services,professional.course,no,no,no,divorced
35,blue-collar,basic.9y,no,no,no,married
25,services,basic.6y,yes,no,no,single
36,self-employed,basic.4y,no,no,no,single
36,admin.,high.school,no,no,no,married
47,blue-collar,basic.4y,yes,no,no,married
29,admin.,high.school,no,no,no,single
27,services,university.degree,no,no,no,single
44,admin.,university.degree,no,no,no,divorced
46,admin.,university.degree,yes,no,no,divorced
45,entrepreneur,university.degree,yes,yes,no,married
50,blue-collar,basic.4y,no,yes,yes,married
55,services,basic.6y,yes,no,no,married
39,technician,high.school,no,no,yes,divorced
29,technician,university.degree,yes,yes,no,single
40,management,high.school,no,yes,no,married
44,technician,professional.course,yes,no,no,married
38,technician,professional.course,yes,no,yes,married
36,technician,professional.course,no,no,no,divorced
28,blue-collar,basic.6y,no,no,no,married
47,admin.,unknown,no,no,no,single
34,admin.,university.degree,no,no,no,married
38,technician,university.degree,yes,yes,no,married
33,services,high.school,yes,no,no,married
51,technician,university.degree,no,no,no,single
30,blue-collar,basic.4y,yes,no,no,single
48,technician,university.degree,no,no,no,married
28,blue-collar,basic.9y,yes,no,no,single
36,blue-collar,basic.6y,yes,no,no,married
46,management,high.school,no,no,no,divorced
31,technician,unknown,yes,no,no,single
20,student,unknown,no,no,no,single
35,services,high.school,yes,no,no,married
38,blue-collar,basic.9y,unknown,unknown,no,married
76,retired,university.degree,no,no,no,married
45,entrepreneur,professional.course,yes,no,no,divorced
32,housemaid,basic.4y,yes,yes,no,married
39,management,university.degree,no,no,no,single
32,admin.,university.degree,no,no,no,married
29,admin.,basic.9y,no,no,no,single
44,services,professional.course,no,no,no,married
32,services,high.school,no,yes,no,married
56,retired,university.degree,yes,no,no,married
33,blue-collar,basic.9y,yes,no,no,married
39,management,high.school,no,no,no,married
24,technician,university.degree,yes,yes,yes,married
33,admin.,university.degree,yes,no,no,single
58,entrepreneur,university.degree,no,no,no,divorced
29,admin.,university.degree,yes,no,no,single
31,admin.,university.degree,yes,no,no,married
27,admin.,university.degree,no,no,no,married
60,admin.,professional.course,yes,no,yes,divorced
55,entrepreneur,professional.course,yes,yes,no,married
37,blue-collar,basic.9y,yes,no,no,married
52,admin.,unknown,yes,no,yes,married
46,services,high.school,yes,no,no,married
42,blue-collar,basic.6y,yes,no,no,divorced
35,admin.,university.degree,yes,no,no,single
49,technician,unknown,yes,yes,no,divorced
29,services,high.school,no,yes,no,divorced
32,blue-collar,basic.9y,no,no,yes,married
37,self-employed,university.degree,no,no,no,married
39,technician,professional.course,no,no,yes,single
51,services,high.school,yes,no,yes,married
28,admin.,high.school,yes,no,no,single
34,management,university.degree,yes,no,no,married
31,technician,high.school,yes,yes,yes,single
31,admin.,university.degree,yes,no,no,married
31,admin.,university.degree,yes,no,no,single
38,self-employed,university.degree,no,no,no,single
33,unemployed,basic.9y,no,no,no,married
32,technician,university.degree,no,no,no,single
54,technician,professional.course,yes,no,no,married
41,admin.,high.school,yes,no,no,divorced
59,services,basic.4y,no,no,no,married
57,retired,university.degree,yes,no,no,married
38,entrepreneur,university.degree,yes,no,no,divorced
46,admin.,university.degree,yes,no,no,married
37,unemployed,university.degree,yes,yes,no,single
47,services,basic.9y,unknown,unknown,yes,single
45,admin.,university.degree,no,no,yes,single
36,blue-collar,basic.6y,yes,no,no,married
40,unemployed,high.school,yes,no,no,single
38,blue-collar,basic.9y,no,no,no,married
44,blue-collar,high.school,no,no,no,married
25,self-employed,university.degree,yes,no,no,married
30,blue-collar,basic.6y,yes,no,no,single
43,management,professional.course,no,no,no,married
58,retired,basic.6y,no,no,no,married
31,technician,professional.course,yes,no,no,married
53,management,university.degree,no,no,no,married
52,admin.,unknown,no,no,no,married
37,management,university.degree,no,yes,no,married
58,admin.,high.school,yes,no,no,married
37,services,high.school,yes,yes,no,married
38,admin.,unknown,yes,no,no,single
33,services,basic.9y,yes,no,no,single
45,services,high.school,yes,no,no,married
44,entrepreneur,professional.course,no,no,no,married
38,blue-collar,basic.6y,yes,no,no,married
34,blue-collar,basic.9y,no,no,no,married
47,management,university.degree,yes,no,no,married
59,admin.,university.degree,yes,yes,no,married
51,blue-collar,basic.4y,yes,yes,no,married
31,blue-collar,basic.6y,yes,no,no,married
56,management,university.degree,yes,yes,no,married
39,admin.,university.degree,no,no,no,married
41,entrepreneur,university.degree,yes,no,yes,married
41,management,basic.6y,yes,no,no,divorced
53,services,high.school,no,no,no,married
35,blue-collar,high.school,no,yes,no,married
58,retired,basic.9y,no,yes,no,married
25,self-employed,professional.course,yes,no,no,married
35,blue-collar,basic.9y,yes,no,no,divorced
28,services,high.school,no,no,no,single
55,blue-collar,professional.course,yes,yes,no,married
54,entrepreneur,basic.4y,no,yes,no,married
45,technician,basic.9y,no,no,no,divorced
32,blue-collar,basic.9y,yes,no,no,married
50,admin.,basic.9y,yes,no,no,married
75,retired,basic.4y,no,no,yes,married
33,self-employed,unknown,no,no,no,divorced
29,management,university.degree,no,yes,no,married
45,management,university.degree,yes,no,no,married
38,admin.,university.degree,no,no,yes,divorced
24,services,professional.course,yes,no,no,single
41,technician,professional.course,yes,no,no,married
58,retired,high.school,yes,no,yes,divorced
34,admin.,university.degree,no,yes,no,married
34,admin.,university.degree,no,no,no,married
37,technician,professional.course,no,no,no,divorced
53,blue-collar,basic.4y,no,no,yes,divorced
54,technician,professional.course,yes,yes,no,divorced
32,technician,professional.course,yes,no,no,divorced
42,admin.,high.school,yes,no,no,married
28,technician,professional.course,yes,no,yes,single
33,services,high.school,yes,no,no,single
41,blue-collar,basic.9y,yes,no,no,married
31,services,high.school,no,yes,no,married
40,technician,basic.9y,no,yes,no,married
53,unknown,basic.9y,no,yes,no,married
40,admin.,university.degree,yes,no,no,divorced
82,housemaid,basic.4y,no,no,yes,married
28,blue-collar,basic.4y,yes,no,no,married
30,admin.,high.school,yes,no,no,married
31,unemployed,university.degree,yes,no,yes,single
32,technician,university.degree,yes,no,no,single
54,blue-collar,basic.4y,yes,no,no,married
31,blue-collar,basic.9y,no,no,no,married
50,services,unknown,yes,no,no,married
47,technician,unknown,no,no,no,single
31,admin.,high.school,yes,yes,no,single
32,unemployed,high.school,yes,no,no,married
46,admin.,high.school,yes,no,no,single
47,admin.,high.school,no,no,no,single
32,admin.,high.school,no,no,no,single
52,services,high.school,no,no,no,divorced
45,admin.,high.school,yes,no,yes,married
32,admin.,university.degree,yes,no,no,married
71,blue-collar,basic.4y,no,no,no,divorced
49,services,high.school,yes,no,no,married
46,admin.,high.school,yes,yes,no,married
46,blue-collar,professional.course,no,no,no,married
38,admin.,university.degree,yes,no,no,married
57,services,professional.course,no,no,no,married
41,services,high.school,unknown,unknown,no,single
44,technician,professional.course,no,no,no,married
47,technician,university.degree,yes,no,no,married
40,blue-collar,basic.9y,yes,yes,no,married
57,retired,professional.course,yes,no,no,single
